coord,lon,lat,height,road_id,vegklasse,name,kommentar,is_real,is_generated,fiber_kabel,TK_kabel,uten_raate,tre_stolpe,staal_stolpe,LED,halogen,build_weight,build_weight4
[6.66764970e+05 7.75188475e+06 1.30700000e+01],19.334972156286657,69.82143124805442,13.07,568807759_AAE04B,0.999,100.1,*** Generert stolpe ***,0,1,0,0,1,1,0,1,0,0.0,0.0
[6.66800813e+05 7.75190839e+06 1.38974936e+01],19.33594411254516,69.82161986483044,13.897493554597393,568807759_AAE04B,0.999,100.2,*** Generert stolpe ***,0,1,0,0,1,1,0,1,0,0.0,0.0
[6.66836676e+05 7.75193202e+06 1.37539200e+01],19.336916581484182,69.8218083097868,13.753919954814833,568807759_AAE04B,0.999,100.3,*** Generert stolpe ***,0,1,0,0,1,1,0,1,0,0.0,0.0
[6.66872455e+05 7.75195577e+06 1.30605246e+01],19.33788711106688,69.8219978592576,13.060524632109436,568807759_AAE04B,0.999,100.4,*** Generert stolpe ***,0,1,0,0,1,1,0,1,0,0.0,0.0
[6.66908355e+05 7.75197934e+06 1.25738999e+01],19.338860453832222,69.82218573653873,12.573899871308317,568807759_AAE04B,0.999,100.5,*** Generert stolpe ***,0,1,0,0,1,1,0,1,0,0.0,0.0
[6.66944199e+05 7.75200299e+06 1.19859002e+01],19.33983252454914,69.82237438524315,11.985900165260201,568807759_AAE04B,0.999,100.6,*** Generert stolpe ***,0,1,0,0,1,1,0,1,0,0.0,0.0
[6.66979879e+05 7.75202688e+06 1.14421094e+01],19.34080082396039,69.82256532117692,11.442109433780342,568807759_AAE04B,0.999,100.7,*** Generert stolpe ***,0,1,0,0,1,1,0,1,0,0.0,0.0
[6.67015006e+05 7.75205158e+06 1.14876785e+01],19.341756300625946,69.82276383114196,11.48767850558232,568807759_AAE04B,0.999,100.8,*** Generert stolpe ***,0,1,0,0,1,1,0,1,0,0.0,0.0
[6.67047811e+05 7.75207927e+06 1.14500000e+01],19.342657132867345,69.82299044949143,11.45,568807759_AAE04B,0.999,100.9,*** Generert stolpe ***,0,1,0,0,1,1,0,1,0,0.0,0.0
[6.67078103e+05 7.75210968e+06 1.11082642e+01],19.34349797299101,69.82324310510292,11.108264205211107,568807759_AAE04B,0.999,100.10,*** Generert stolpe ***,0,1,0,0,1,1,0,1,0,0.0,0.0
[6.67104689e+05 7.75214339e+06 1.08436971e+01],19.344248887534356,69.8235275449834,10.843697059658373,568807759_AAE04B,0.999,100.11,*** Generert stolpe ***,0,1,0,0,1,1,0,1,0,0.0,0.0
[6.67130129e+05 7.75217799e+06 1.07234851e+01],19.34497177879782,69.82382071806184,10.72348511082587,568807759_AAE04B,0.999,100.12,*** Generert stolpe ***,0,1,0,0,1,1,0,1,0,0.0,0.0
[6.67155362e+05 7.75221274e+06 1.08700000e+01],19.34568962439029,69.82411534963282,10.87,568807759_AAE04B,0.999,100.13,*** Generert stolpe ***,0,1,0,0,1,1,0,1,0,0.0,0.0
[6.67180709e+05 7.75224741e+06 1.05316240e+01],19.34641030404891,69.82440916385892,10.531623976813414,568807759_AAE04B,0.999,100.14,*** Generert stolpe ***,0,1,0,0,1,1,0,1,0,0.0,0.0
[6.67205990e+05 7.75228213e+06 1.03963874e+01],19.34712935910825,69.82470346920245,10.396387408419534,568807759_AAE04B,0.999,100.15,*** Generert stolpe ***,0,1,0,0,1,1,0,1,0,0.0,0.0
[6.67231469e+05 7.75231670e+06 1.06247076e+01],19.347853301091178,69.82499634615428,10.6247075515589,568807759_AAE04B,0.999,100.16,*** Generert stolpe ***,0,1,0,0,1,1,0,1,0,0.0,0.0
[6.67257132e+05 7.75235113e+06 1.09635409e+01],19.348581785577835,69.82528786699477,10.963540862250555,568807759_AAE04B,0.999,100.17,*** Generert stolpe ***,0,1,0,0,1,1,0,1,0,0.0,0.0
[6.67281961e+05 7.75238614e+06 1.05872201e+01],19.349289746149967,69.82558506857877,10.58722014446642,568807759_AAE04B,0.999,100.18,*** Generert stolpe ***,0,1,0,0,1,1,0,1,0,0.0,0.0
[6.67301293e+05 7.75242441e+06 8.80021595e+00],19.349861320712776,69.82591485941305,8.800215945093155,568807759_AAE04B,0.999,100.19,*** Generert stolpe ***,0,1,0,0,1,1,0,1,0,0.0,0.0
[6.67317380e+05 7.75246418e+06 6.94521638e+00],19.350351647204835,69.82626022951202,6.94521638031528,568807759_AAE04B,0.999,100.20,*** Generert stolpe ***,0,1,0,0,1,1,0,1,0,0.0,0.0
[6.67335723e+05 7.75250295e+06 6.77329989e+00],19.350898594592707,69.82659521617023,6.773299889162885,568807759_AAE04B,0.999,100.21,*** Generert stolpe ***,0,1,0,0,1,1,0,1,0,0.0,0.0
[6.67362515e+05 7.75253635e+06 8.04196008e+00],19.35165450276497,69.82687672420393,8.041960076005996,568807759_AAE04B,0.999,100.22,*** Generert stolpe ***,0,1,0,0,1,1,0,1,0,0.0,0.0
[6.67395821e+05 7.75256334e+06 9.64316830e+00],19.352567316182224,69.82709677506767,9.643168302109187,568807759_AAE04B,0.999,100.23,*** Generert stolpe ***,0,1,0,0,1,1,0,1,0,0.0,0.0
[6.67428151e+05 7.75259150e+06 1.00583152e+01],19.3534570423994,69.82732787565482,10.058315221075132,568807759_AAE04B,0.999,100.24,*** Generert stolpe ***,0,1,0,0,1,1,0,1,0,0.0,0.0
[6.67453593e+05 7.75262599e+06 9.49934890e+00],19.35418007340516,69.82762007106713,9.499348900760713,568807759_AAE04B,0.999,100.25,*** Generert stolpe ***,0,1,0,0,1,1,0,1,0,0.0,0.0
[6.67474203e+05 7.75266366e+06 9.12971172e+00],19.354783808888527,69.82794371701007,9.129711715147112,568807759_AAE04B,0.999,100.26,*** Generert stolpe ***,0,1,0,0,1,1,0,1,0,0.0,0.0
[6.67493242e+05 7.75270215e+06 8.52441173e+00],19.35534835540516,69.82827569676017,8.52441172755778,568807759_AAE04B,0.999,100.27,*** Generert stolpe ***,0,1,0,0,1,1,0,1,0,0.0,0.0
[6.67510496e+05 7.75274145e+06 7.51131388e+00],19.355868208212836,69.828616084769,7.5113138768323395,568807759_AAE04B,0.999,100.28,*** Generert stolpe ***,0,1,0,0,1,1,0,1,0,0.0,0.0
[6.67521822e+05 7.75278281e+06 6.42222330e+00],19.356238270379798,69.8289786150259,6.422223295925271,568807759_AAE04B,0.999,100.29,*** Generert stolpe ***,0,1,0,0,1,1,0,1,0,0.0,0.0
[6.67528035e+05 7.75282529e+06 6.07595546e+00],19.356477946581403,69.8293545230678,6.075955457913495,568807759_AAE04B,0.999,100.30,*** Generert stolpe ***,0,1,0,0,1,1,0,1,0,0.0,0.0
[6.67532199e+05 7.75286803e+06 6.37830571e+00],19.356665051025942,69.82973402386294,6.378305714825242,568807759_AAE04B,0.999,100.31,*** Generert stolpe ***,0,1,0,0,1,1,0,1,0,0.0,0.0
[6.67534702e+05 7.75291089e+06 6.87439855e+00],19.35680933246751,69.83011566996441,6.874398551424441,568807759_AAE04B,0.999,100.32,*** Generert stolpe ***,0,1,0,0,1,1,0,1,0,0.0,0.0
